explicit,album_id,album_name,artists_0_id,artists_0_name,track_number,duration_ms,id,name,popularity,year
False,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,1,207640,22cDldSuj9rgIMXwn4Ofn0,Adult Diversion,0,2014
False,0OSYZ7EMRs14RPvwowd13F,Waiting on a Song,6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,9,203560,2Zv95uoSB1H4puVfAYbovF,Undertow,39,2017
False,6h2wQk5NSOvLdeNSDZnGR4,The Psychedelic Swamp,4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog,4,228055,70WY0OFaz7293OjqeUPJnL,Bring My Baby Back,31,2016
False,2qiPY1CqHGexT4yWrQ5uX0,Sunlit Youth,75dQReiBOHN37fQgWQrIAJ,Local Natives,7,237693,53I7CviVHhNYEKth717RLG,Coins,44,2016
False,4fr5W0qWDRm8weM6m2B9qh,Velvet Ears: David Oâ€™dowda,0kgnPJElpccT4mc6IMZ653,David O'Dowda,1,137333,6vkSY2DjEXmwwn8dC0jf40,Keep Your Head,39,2016
False,7f5IY1tuyC4yEardrzrxwe,Wincing The Night Away,4LG4Bs1Gadht7TCrMytQUO,The Shins,4,287533,4l8knlwTeoTmSnGi45kqZ8,Phantom Limb,0,2007
False,2H3TKiLmrT0huFqHUgMky4,Scary Pockets,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,7,187500,1mUS652Xd2eonGTgcsImVE,What a Girl Wants,0,2017
False,4zU9MpJxu9KUVdJIire6GD,Kitsch Funk,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,3,211000,6ORopcXNs9MKzDRixexcgb,Love Yourself,0,2018
False,2CBfjDdstyhyfOaNqLPOwg,Sun Giant,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,4,275306,18ycL9Q5zLDeY9M2Lr3Ozw,Mykonos,13,2008
False,6TqAnRWjGY3ztfajmS0HSG,Are You Serious,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,7,218413,2OYmCSVGmN5vXuG5dX5LKY,Are You Serious,47,2016
False,6iKqPv9C5oU29LR82N8lJf,Strangers to Ourselves,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,2,187720,5jJ69cMDMC0aeWPjZo6VP2,Lampshades on Fire,52,2015
False,5bnF5MxlRc5ebdlpR4NKHp,Can't Buy Me Love,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,1,129000,2bO7zhxYKNriiymnRM7mtS,Can't Buy Me Love,0,2018
False,5M8xQaQZuW2LZGVXZ3mlKN,MY WOMAN,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,2,221400,4ZgRu1DdjHZXrqwKA1YlSr,Never Be Mine,0,2016
False,6PbSc4h6AzFR6cQKZvtrGn,Phases,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,1,218320,7baqevYFvsevqje1Pdmjcy,Fly On Your Wall,0,2017
False,6PbSc4h6AzFR6cQKZvtrGn,Phases,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,3,155200,7qoeVNQHDELc33RNrdAC3W,Only With You,0,2017
False,25Z3GFmKx6ntosMpCSngnI,Hot Thoughts,0K1q0nXQ8is36PzOKAMbNe,Spoon,3,260079,0EH6BeGSEWtbETiOAYr3sN,Do I Have to Talk You Into It,0,2017
False,5P0LN9xrnLY1By7mlkKtkx,Melted,58XGUNsRNu3cVOIOYk5chx,Ty Segall,3,132760,5vEE1d5gkv3pgfZyppLeX8,Girlfriend,34,2010
False,7otZukb5nxzaVjoWZlhGu8,Mythological Beauty,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2,172484,6cEplYfowfXU3SJRnkrwBe,Breathe in My Lungs,0,2017
False,60WtCpA6zPqFMhDS7MtDYP,New Birth in New England,57kIMCLPgkzQlXjblX7XXP,Phosphorescent,1,299685,183nPEAaTN4E1hV7De1xsV,New Birth in New England,0,2018
False,1v4UMJTzhtv1uqvunELhR9,Joe (Live From Austin City Limits),16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,1,211374,3a4FZmznEyHMYyxiw45k37,Joe - Live From Austin City Limits,0,2015
False,4XlvkGpGZ0wqf13YkHyrXd,Lost At Last Vol. 1,099toTcKJoywTosZr2hHjy,Langhorne Slim,11,181626,61kYRloObrNZitLUDFHh9p,Zombie,0,2017
False,2he3CA9Gg1XLCsBiMAaXiz,Muchacho,57kIMCLPgkzQlXjblX7XXP,Phosphorescent,3,224906,55C8Zut2Ug8wPNrU4OJYPd,Ride On / Right On,0,2013
False,4ofyfCTKDjg36h4gTOz8k0,The Moon and the Melodies,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,1,189040,0EtYctBNJJ4IMNR7skKfm3,"Sea, Swallow Me",0,1986
False,6XVw1ysE3HyYF9T9axP33Y,Don't Take The Money,2eam0iDomRHGBypaDQLwWI,Bleachers,1,215539,0d3BJRrklQ6sTfbmrojuZI,Don't Take The Money,36,2017
False,6ceEcvc9bKjAZ2IxVNEbZ2,Marie Antoinette (Original Motion Picture Soundtrack),0epOFNiUfyON9EYx7Tpr6V,The Strokes,3,168750,5ZrT889Mp3oaUyI2jPM9dc,What Ever Happened,0,2006
False,3avy9ZvrDRdDQKRcf1kJ6V,Transangelic Exodus,1uR7zoLrSRI8bSL43OZ0GY,Ezra Furman,9,219000,5141H4ftZMaTJIuMOhJ5J3,Love You So Bad,0,2018
False,6H5Gf3PNATQ6ufJQhM263o,Nothing Lasts Forever (And It's Fine),6GpcBKNmZDIrRzYkPJu7Wd,flora cash,2,218883,1tweNeMlwxfeoOXklVibnf,You're Somebody Else,0,2017
False,7f5IY1tuyC4yEardrzrxwe,Wincing The Night Away,4LG4Bs1Gadht7TCrMytQUO,The Shins,7,221840,5nfe5aPK3Qh5zC4oo5KXbO,Turn On Me,0,2007
False,1WqsQoAZ6KIYS0mZAAezWa,Sunflower / Big Blue,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,1,137600,2nBkgxlht8knPvUQN5Tmdk,Sunflower (feat. Steve Lacy),0,2019
False,16i5KnBjWgUtwOO7sVMnJB,Puberty 2,2uYWxilOVlUdk4oV9DvwqK,Mitski,5,212183,172rW45GEnGoJUuWfm1drt,Your Best American Girl,0,2016
False,4vucVTj5GjNV0MllVjsxo5,Spotify Singles,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2,224647,15yWH0t80xio9hCjOZpalj,Body's In Trouble - Recorded at Spotify Studios NYC,0,2017
True,3O9h4n6a5yGA4OCcwNx2se,The Rabbit Hole,6P5NO5hzJbuOqSdyPB7SJM,Ashe,4,226360,2f47eePMUJvRVVqWdA4JC2,Real Love,0,2018
False,2hOYLjoRQFXcdviMiwtgxe,Capacity,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,10,330106,6dtB54Z7eICDUOPq3QwXuo,Mary,0,2017
False,4onPyHor2yOlVxCsIaGyHH,Masterpiece,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2,230586,2WTxIQ0ufU7AxT43ZKpllY,Masterpiece,0,2016
False,358elHWlgNqitp1lenb5Jn,Burn Your Fire For No Witness (Deluxe Edition),6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,11,247813,0dV5sMWcqcxTCkLfXv4yt8,Windows,0,2014
False,0RedX0LZkGUFoRwFntAaI0,All Mirrors,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,1,378826,13rEyddPoVpxXWWv2aTjqo,Lark,0,2019
False,2CQY5a9aqLxICQjFfsMIOf,Half Way Home,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,10,149239,7I6hkWQ87DnCDssXxM23OS,Free,0,2012
False,17bL9TKkDZEOwBRZblbK69,Yoko Ono,5cVeSOiS002MF1uiUFOPV5,Mob Rich,1,202640,28GTdx9aoBF7b5651zVwUE,Yoko Ono,0,2018
False,1D3YttJsWvUUSvOVRbic0o,Fuzz,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,3,234880,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,41,2013
False,28FxHb9OJRzAch4DwUUsaT,Too Bright,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2,230719,52WTLETEHs5jwCr7LCq0VW,Queen,0,2014
False,7pg8T6pajjHVZbiyB8bGxo,Two Hands,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,7,367093,7IzJ7EGpIpq2vW3ylVTtMh,Not,0,2019
False,03CZTX0lcoZGy71rOHnDxn,Lamp Lit Prose,5VF0YkVLeVD4ytyiyVSIiF,Dirty Projectors,2,227826,65tjr5cWJmsA8KHVvuC7b2,Break-Thru,30,2018
False,2SEHMcexhQTXYjfkMGomF4,Adventures In Your Own Backyard,7bPs6jf983f0bjRAt1yxDM,Patrick Watson,1,286053,6VLkQYUUkmhY81HR1RAgX9,Lighthouse,29,2012
False,4sgJYX3we1RoranerDs8ph,Wave,7bPs6jf983f0bjRAt1yxDM,Patrick Watson,4,194000,1e1a7eAlICks9mch3UVsEH,Melody Noir,52,2019
False,2S81NPoxd3E2gd261BSo5X,Fields (Deluxe Edition),7HcipAIJatVGT4U6HQrnFW,Junip,8,239293,1ghaBtBdpuZMg5nV9E2qRU,Don't Let It Pass,41,2010
False,01GO03odsNlNLtvNETukWT,Historian,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,1,391829,2AF5Kzxb4pz7j79Ity84pP,Night Shift,0,2018
False,7awgq3vvlsIeA7dZduR9x4,No Shape,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,1,160169,7nycFVsC616uen7TOxhOQb,Otherside,0,2017
False,3ca8rTTGzriBOcq2JnHchZ,North Hills,0CDUUM6KNRvgBFYIbWxJwV,Dawes,5,308373,6y9Jj7NVcBOCsnn9Ps2CPN,When My Time Comes,0,2009
False,7MNOeNJ9RJgDJ2EPEbsIRv,Someone To Spend Time With,0qraFJK6boYSp4ZMMX4PzG,Los Retros,1,173953,0qQ9VcVPkWDTnff6HIhISU,Someone To Spend Time With,0,2019
False,4u3aIyQbywYaxgF7TcXuIu,Crushing,12fRkVfO2fUsz1QHgDAG3g,Julia Jacklin,4,332986,3bt6gBOA41MHQfXy0Jf855,Don't Know How To Keep Loving You,0,2019
False,5DbBF5Ktm8NVUJapsVzKRH,Cowboy Worship,1jwOuEBcOKq0BeudSarbEM,Amen Dunes,2,224635,0HV0DzBkuBpQeZOXHpcEKV,Song to the Siren,0,2015
False,6j4BnZet4BZ8YgSUZ3n1cf,Whole New Mess,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,6,232160,2Lw2s0g68JWM77XSqMZkfT,"Waving, Smiling",0,2020
False,35CHoLB0GEwYlOomriifC6,grÃ¦,5W10uJRsbt9bROJDKoI1Wn,Moses Sumney,2,250120,6YheRoPUnQc0mXiWBUiQz5,Cut Me,0,2020
False,1HUMjB15ARg96KIypcGzYY,Halcyon Digest,38zTZcuN7nFvVJ6auhc6V3,Deerhunter,6,404413,3jZ0GKAZiDMya0dZPrw8zq,Desire Lines,0,2010
False,78GfKzBtwL7C9D7nWp31PN,Begin Again - EP,3x8FbPjh2Qz55XMdE2Yalj,Nick Mulvey,1,275280,2ksgMG1hHFHV979phZ2lkd,Begin Again,44,2020
False,6p3l7A2KvsWTI6cnav1m6s,Mr. Lonely,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,1,173722,51309AlWfhaco8OwvUWlZI,Mr. Lonely,0,2020
False,7c0DRALsdT9K7FLQBTR9PS,Gliss Riffer,5Z3IWpvwOvoaWodujHw7xh,Dan Deacon,3,258959,69L4d5HlE0YOCwWFYVFGoW,When I Was Done Dying,47,2015
False,6wPvhV9G6irAbzpLCADP3K,Party,3lmR0qMiGuoIF9UC54egcG,Aldous Harding,2,351309,0B4U4UMwO5uKqM3OXm6L6P,Imagining My Man,44,2017
False,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2uYWxilOVlUdk4oV9DvwqK,Mitski,12,128198,3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,81,2018
False,23pU48SJQenRgzDDek2bor,Clap Your Hands Say Yeah,1jSaZgaKHmgc7VTgML528r,Clap Your Hands Say Yeah,6,343773,57rAvblBMBmdPBugRF1T77,The Skin of My Yellow Country Teeth,48,2005
False,223n9IVGQAHd5bW5jkfdex,How It Ends,0hk8VgR64voU5ueK96W2DI,DeVotchKa,5,419680,2muzSvsyjlHTjIZr6gDfMr,How It Ends,0,2004
False,26G7PfSLTyLiIcITVl7GAK,Artifacts,6pmxr66tMAePxzOLfjGNcX,Beirut,3,171600,3rI2ZzcGRplylBb2RnxvP1,Scenic World,39,2022
False,3koPfjNNoh3JJ0AD6WnKtT,Sleep Cycle,6JSybS5o47NUTNFQauvxUY,Deakin,1,386898,7tNzSvipxHL4M6pKtv8CNw,Golden Chords,27,2016
False,0vVekV45lOaVKs6RZQQNob,In the Aeroplane Over the Sea,2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,3,202346,5rfT032kGmLvbxZzfHlu5D,In the Aeroplane Over the Sea,63,1998
False,0vVekV45lOaVKs6RZQQNob,In the Aeroplane Over the Sea,2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,1,120426,5CU1bbfY1wUPm7fU255Dhf,King of Carrot Flowers Pt. 1,56,1998
False,4MTcjMpRBALILRLpXFtYw8,Una Volta,0hk8VgR64voU5ueK96W2DI,DeVotchKa,4,330419,0DzNSw9Pp1yKJZynNBM8uy,Queen of the Surface Streets,0,2003
False,3C2MFZ2iHotUQOSBzdSvM7,Lonerism,5INjqkS1o8h1imAzPqGZBb,Tame Impala,9,211226,6qZjm61s6u8Ead9sWxCDro,Elephant,69,2012
False,7LAg9Zb1nhC6ZWjvZN84CA,Had Ten Dollaz,3pIGm1omCcHIb1juBNHspg,Cherry Glazerr,1,252139,5mqr5kF7oNDdcG01qazSqK,Had Ten Dollaz,40,2014
False,4l3IxlNPRmI4kFFa537o2Y,100 Lovers,0hk8VgR64voU5ueK96W2DI,DeVotchKa,2,290106,1rO4Ew8dCbYWqJ3L6DmJDo,All the Sand in all the Sea,31,2011
False,6UpdRU3P0AAMA6MVCzsW3c,Floating Coffin,3qYfqdVwX0fil71onLpLkh,Thee Oh Sees,2,212600,4lZjHEJXzKCCTVPtgYcypv,Toe Cutter - Thumb Buster,44,2013
False,2Xs9xSBhvyo8F6daRc1npu,Texas Moon,2mVVjNmdjXZZDvhgQWiakk,Khruangbin,2,274391,2DccHqTquzubziHAPZRdct,B-Side,60,2022
False,1YbPpWqyIoqEgt2QY90yXy,The Mysterious Production of Eggs,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,4,172840,50woGYhAqV3KXvO1LG4zLg,Fake Palindromes,16,2005
False,2ALvcYeRWEyQ5CMh0OtMcY,Salt,574ERIqzZ5yZU9JhIf3Ysf,Angie McMahon,7,278453,45whF6K6Mo1s3RPb6cUrdB,Pasta,0,2019
False,2VLIPyyCSjXgeVo17ZQte6,You've Passed / Where You'll Find Me Now (Early Versions),2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,1,267200,0VMx7AglIk6EtEVBWDnZQ0,You've Passed - Alternate Version,21,2023
False,2VLIPyyCSjXgeVo17ZQte6,You've Passed / Where You'll Find Me Now (Early Versions),2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,2,289933,5iB3Sl8ba4jkSKQKWt0zIu,Where You'll Find Me Now - Alternate Version,23,2023
False,4mBSeOEiQ4WgDaCnydb0tZ,Starfucker,2Tz1DTzVJ5Gyh8ZwVr6ekU,STRFKR,5,173693,4j4pPKE3xAblPIbhxScC1j,Rawnald Gregory Erickson the Second,58,2008
True,6oVaKzODiXqew6MScEd7T4,At War with the Mystics,16eRpMNXSQ15wuJoeqguaB,The Flaming Lips,10,222866,2frHiHPVkiNCBMPkYF83Jr,The W.A.N.D.,41,2006
True,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2uYWxilOVlUdk4oV9DvwqK,Mitski,5,110919,3bjPPTMGBp8e36BYJaXDO2,Lonesome Love,52,2018
False,2Qr40p1sv6NYrf9NPehsrO,Carnavas,6qyi8X6MdP1lu6B1K6yh3h,Silversun Pickups,7,354360,1aDLUzCyYpRXgrjwUWzV2X,Lazy Eye,60,2006
False,5rFz4G87AjEmwTXV7beok0,Parts,1lGRK7KK1IuflIyNSE9R3M,Finom,1,197799,3sMxDrdJEhhJFRqeSMV7nD,Icon,21,2018
False,7veNlo53uwJjMtxwQUTNOx,A Small Death,5dpLK5cD7FwWyDKv4qbodS,Samantha Crain,6,280853,4DpPrilNCDa86zvwI6BUcD,Joey,24,2020
False,2Y2jwkzcM6CszpX1FEghEw,Monarca,4bx914GWsNvshDzfYNSKjY,La Gusana Ciega,7,283013,3FD4WGUSXKAkYSXs1FJ5JU,Tu VolverÃ¡s,54,2014
False,1vdJozfZSMZJ2nUJ7D2lTc,Looking for Knives,5oVU37Ru65xPHl7dJG7gR9,DYAN,5,373866,1kJYmG59kwtbs2rvkqpzB6,Looking for Knives,46,2016
False,7vHBQDqwzB7uDvoE5bncMM,Drunk,4frXpPxQQZwbCu3eTGnZEw,Thundercat,15,188453,7CH99b2i1TXS5P8UUyWtnM,Them Changes,68,2017
False,5gmpTq2YKF4pBwizS9QH80,Ferris Wheel on Fire,2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,1,217000,2G9bwstt78wqmamNWvUrxw,Oh Sister - 1995,37,2023
True,0dSSZGzoukzrFBnG07J45i,Le Tigre,2n6FviARgtjjimZXu18uRM,Le Tigre,1,184626,5773KSWFzg9kCc8yazjbSt,Deceptacon,66,1999
False,0nW0w37lrQ87k7PLZvC4qJ,Tell Me I'm Pretty,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,6,225973,5n0CTysih20NYdT2S0Wpe8,Trouble,68,2015
False,2xoj2gYed3IYmGWn3owSfu,Kala,0QJIPDAEDILuo8AIq3pMuU,M.I.A.,11,205200,1ixbwbeBi5ufN4noUKmW5a,Paper Planes,79,2007
False,2h79iBNx5cNPafy42aI1NE,The Sunlandic Twins,5xeBMeW0YzWIXSVzAxhM8O,of Montreal,3,255613,0Ensfv1iBDcsOF6xNok14N,Wraith Pinned to the Mist and Other Games,52,2005
False,7IDywTRaCI8qzS3X8tNU3x,Smash,5LfGQac0EIXyAN8aUwmNAQ,The Offspring,8,257826,1FkoVC85Ds3mFoK0fVqEqP,Self Esteem,75,1994
False,6dVIqQ8qmQ5GBnJ9shOYGE,OK Computer,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,4,267186,0z1o5L7HJx562xZSATcIpY,Exit Music (For A Film),74,1997
True,0dMeqAw8U02QpDifgEeY3Y,Spotify Singles,2TwOrUcYnAlIiKmVQkkoSZ,Wet Leg,2,149443,7fvs1psRkf1WWX4qJOq53N,Daisy - Spotify Singles,42,2022
False,2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,4,290616,0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,87,2017
False,1AxwLCMtx8rnIxkFQKU2LO,Dopethrone,4htjQW3lgIwL6fEJlTOez4,Electric Wizard,2,523333,6DU1WKdUnR7OZkw7BZl9P0,Funeralopolis,46,2006
False,1FcRwT7uoNdO8L9wbYsfAY,13 Songs,62sC6lUEWRjbFqXpMmOk4G,Fugazi,1,173266,2DBlfjL5chsdeULzhTp5K8,Waiting Room,59,1989
False,4JYjZh7R8F7Na5x1lVqOl9,Flags,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,1,216493,2RZ8SjEJYJHZ8YCUzls77w,Flags,56,2020
False,6ZG5lRT77aJ3btmArcykra,Parachutes,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,5,266773,3AJwUDP919kvQ9QcozQPxg,Yellow,88,2000
False,4E7bV0pzG0LciBSWTszra6,X&Y,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,8,285345,2w3eXFL86RgxGtDr8bzwgK,A Message,60,2005
False,7D2KOlQm1PFrMatMIBZ0OR,Neon Bible,3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,4,259000,4AfILr9wieDw8CdM4cZ6th,Intervention,0,2007
False,1P1LYaTMV1LnDiHA3LOows,The Bends (Collector's Edition),4Z8W4fKeB5YxbusRsdQVPb,Radiohead,4,290706,0Uro2xUVsEHQNKR5QL4Lku,Fake Plastic Trees,0,1995
False,5bNn3KPcrlgLmhRXj4d2EX,OK Computer (Collector's Edition),4Z8W4fKeB5YxbusRsdQVPb,Radiohead,5,299266,7begD9rvaWdTHNdXmQuF9E,Let Down,0,1997
False,23dMwCv6redn6pcyliSlGk,Contra,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2,178666,1W2ox3KxfTEQfO5NdOaK7E,White Sky,0,2010
False,2Qi2SySN2ePZwMLDSv9Krn,Modern Vampires of the City,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,8,205960,5OLQo8LBsfh0LszlsyWlzL,Finger Back,0,2013
False,2Qi2SySN2ePZwMLDSv9Krn,Modern Vampires of the City,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,9,201240,5y02IcERVgEUItFLeeZDz6,Worship You,0,2013
False,481rWvLiPIeCjU8FPYLFPO,Hands of Glory,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,1,193666,6TAxmlqn13KElYfvNBmSPB,Three White Horses,17,2012
