acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score
0.00203,['Mudvayne'],0.498,216027,0.974,0,4Icu8prpEka7ufeeyVlj7a,0.0,0.1669999999999999,-2.649,Do What You Do,46,0.144,165.043,0.6459999999999999,2008,21.495897000000003
0.000253,['Rise Against'],0.392,245480,0.932,0,2gTXHAdDkCTGT9paqmgzEB,1.7199999999999998e-05,0.247,-3.839,Audience Of One,45,0.0429,161.859,0.604,2008,21.0438747
2.47e-05,['Rev Theory'],0.4370000000000001,253627,0.971,0,1o5kUcODWoTo3mdCbLogtT,0.0,0.254,-2.9,Light It Up,49,0.075,125.934,0.278,2008,17.872097530000005
0.00912,['Hey Monday'],0.393,197760,0.965,0,4hIY051enSBBJ5fzZUzTSU,0.0,0.385,-2.0780000000000003,How You Love Me Now,49,0.0734,134.91899999999998,0.37,2008,18.759088
0.00964,['One Day As A Lion'],0.408,227760,0.895,0,2ww4JXJolWV7DmC5PFfZyu,0.0,0.51,-6.027,Wild International,49,0.196,171.695,0.531,2008,22.418636000000003
0.000121,['Rise Against'],0.324,189080,0.938,0,5CAaWuGhF4XvUm2liCkThA,2.58e-05,0.144,-3.4360000000000004,The Dirt Whispered,52,0.0445,104.733,0.6659999999999999,2008,16.0194879
0.0228,['Jonas Brothers'],0.302,205013,0.619,0,1C9CSFviMwp3kyZHmV09ed,0.0,0.231,-4.812,A Little Bit Longer,50,0.0331,156.359,0.291,2008,20.87972
0.198,['Ricardo Arjona'],0.336,210400,0.682,0,4KRSPSD9KxXA5hIZtfgrhx,0.00211,0.353,-4.667,Cómo Duele,59,0.0332,139.442,0.314,2008,20.096200000000003
0.0794,['David Cook'],0.446,228827,0.8340000000000001,0,7zmqbdEqmQWgU2wOoBPG83,0.0,0.114,-4.013999999999999,Light On,48,0.0341,132.034,0.363,2008,18.33486
0.0029,['My Morning Jacket'],0.464,273333,0.7120000000000001,0,3wXEUULHykJRKdpqano51m,0.0044,0.0693,-5.702999999999999,I'm Amazed,44,0.0391,163.92,0.6509999999999999,2008,21.09811
0.00116,['Theory of a Deadman'],0.462,251840,0.95,1,796KVmeIoTOek76YwNduEL,0.0,0.268,-3.94,So Happy,43,0.0705,134.089,0.252,2008,18.086184000000003
0.00466,['Skillet'],0.431,204787,0.908,0,1Kmqs7p26K1tii7ISro8J4,0.0,0.0693,-3.732,"It's Not Me, It's You",50,0.0388,172.16400000000004,0.317,2009,22.574534000000003
0.000299,"['Usher', 'Plies']",0.402,256293,0.741,0,1kLYMOFEzQX9PgdKB7VkSL,0.0,0.203,-3.822,Hey Daddy (Daddy's Home) (feat. Plies),48,0.0411,127.835,0.356,2009,17.8861701
0.00182,['Cage The Elephant'],0.398,196560,0.809,0,3cPLWRuXjNsqqNuZRosZaD,0.0,0.334,-6.162999999999999,Lotus,46,0.0359,128.495,0.493,2009,17.771618000000004
0.0245,['Jonny Diaz'],0.457,231000,0.635,0,0BD6kjnLp2CGYAY3Vb6bUY,0.0,0.113,-5.9220000000000015,More Beautiful You,45,0.0332,155.843,0.458,2009,20.36375
0.000857,['Chevelle'],0.459,207027,0.946,0,2pYnpQHChbpwxla0gYcHhB,0.0,0.151,-3.977,Letter from a Thief,46,0.072,103.034,0.241,2009,15.278914300000004
6.13e-06,['Five Finger Death Punch'],0.424,203787,0.956,1,3LEdpYi7Qd2vYKvlooIZO0,0.0156,0.313,-3.766,No One Gets Left Behind,44,0.0754,155.974,0.278,2009,20.368999387
0.199,"['Grizzly Bear', 'Victoria Legrand']",0.488,261200,0.513,0,02KGkBz8Tyc9TB2RqCd9Z5,0.0396,0.173,-7.4689999999999985,Slow Life (with Victoria Legrand),48,0.0257,73.055,0.406,2009,12.337100000000005
0.000112,['Decyfer Down'],0.478,251200,0.7040000000000001,0,0aAnHzjVQxXyvmbOHGAsfD,0.0,0.0957,-6.283,Fading,45,0.0276,88.01100000000002,0.398,2009,13.607888800000003
0.0105,['Camera Obscura'],0.434,198893,0.853,0,0xVU3b2ZWl8cq8QuZ6oYPl,0.0,0.214,-4.05,French Navy,52,0.0432,136.997,0.6679999999999999,2009,19.241350000000004
0.00261,['All Time Low'],0.42,229853,0.758,0,6ZUQhRkFJqiPsOucrXZwS6,0.0,0.124,-3.834,Umbrella,50,0.0361,175.93200000000004,0.674,2009,22.904339000000007
0.000103,['Bring Me The Horizon'],0.382,274133,0.943,0,0ZxZsjMMyLgjRV1XLWlIaS,0.00011,0.396,-5.434,It Never Ends,50,0.0872,105.032,0.128,2010,15.8624897
0.00296,['Kenny Chesney'],0.315,210640,0.925,0,0X0zDB7RqpWOIwCHGr2Whu,0.0642,0.114,-4.507,Reality,47,0.117,185.305,0.415,2010,23.570704
0.0833,['MercyMe'],0.485,261720,0.589,0,44Ct3hm0XrOVa32oE7yTj7,0.00432,0.0893,-7.673999999999999,Beautiful,47,0.0322,137.996,0.19,2010,18.76497
0.00201,['Escape the Fate'],0.269,207400,0.904,0,6tO1amT2NLvgsBzBhHOR1S,0.0,0.312,-5.715,Ashley,52,0.188,177.423,0.346,2010,23.267099
0.00347,['10 Years'],0.468,199680,0.882,0,6TghWaPh1WHJKWXow7iujH,1.57e-06,0.3720000000000001,-3.906,Shoot It Out,48,0.0636,164.035,0.327,2010,21.561353
0.175,['Randy Rogers Band'],0.479,229920,0.3720000000000001,0,7mBFueHAPlAKCWEpxw4Tx1,0.00011,0.123,-10.866,Steal You Away,46,0.0322,144.808,0.272,2010,19.2707
0.00332,['Dave Barnes'],0.459,228960,0.823,0,28lU91CRfUdWJEY7KbhZBL,1.75e-05,0.189,-6.481,God Gave Me You,50,0.037,152.062,0.55,2010,20.544568
0.0319,['The Afters'],0.468,218840,0.774,0,2YEQNToSXA0iOxzpHPlkw9,0.0,0.0666,-4.716,Light Up the Sky,47,0.0316,141.959,0.408,2010,19.21851
0.000271,['My Chemical Romance'],0.479,272773,0.8540000000000001,0,0OByd6pqxZzsXZRj6kJYbN,4.89e-06,0.117,-4.129,The Only Hope for Me Is You,52,0.0548,125.92,0.129,2010,18.1439729
0.0336,['The Afters'],0.461,212467,0.84,0,0i08LLgnQSCIVAXdKztzZ8,0.0,0.207,-4.059,Lift Me Up,46,0.0317,84.008,0.443,2010,13.341640000000002
0.00999,['The Silent Comedy'],0.421,187558,0.885,0,2fzp6ojPHvZaz4uHXxpJVk,4.59e-06,0.255,-6.009,Bartholomew,52,0.0504,151.88299999999995,0.584,2010,20.737001
2.84e-05,['Pendulum'],0.42,252787,0.969,0,4Y2glvLjQGOb4dXnwm1hQf,0.00861,0.379,-3.139,Witchcraft,61,0.0581,174.03799999999995,0.182,2010,23.87849716
0.000134,['Lazerhawk'],0.42,271416,0.952,0,4fo7zZTzAJd66iUxDQ5xUD,0.0109,0.12,-6.839,Overdrive,53,0.0577,132.987,0.626,2010,18.9682866
0.00594,['Kings of Leon'],0.401,208187,0.698,0,47NGN2PkaBo0ap4XF5LbJ2,0.0819999999999999,0.077,-5.0,The Face,53,0.0376,143.421,0.321,2010,19.931106
1.39e-05,['Weezer'],0.354,194307,0.894,0,3SOUAgD70B82lpBVjgVGn9,0.00141,0.159,-5.964,Memories,51,0.0962,152.025,0.293,2010,20.64149861
0.000154,['Seasons After'],0.467,242720,0.828,0,4VxfOVVm5Mnp9JapxZakE3,0.00971,0.0943,-6.7920000000000025,Cry Little Sister,46,0.0566,155.134,0.338,2010,20.4551846
4.25e-06,['Sleeping With Sirens'],0.41,211720,0.959,0,5M9kio8FEFiNKyTDGqksy2,2.03e-06,0.359,-4.88,The Bomb Dot Com V2.0,49,0.0823,165.03799999999995,0.523,2010,21.773499575
0.0444,['Nelly'],0.461,237987,0.748,0,3PfeAZbfD134dO6OiLDA2Y,0.0,0.125,-6.122000000000001,Just A Dream - Main,46,0.033,180.063,0.115,2010,22.918460000000003
7.46e-05,['My Chemical Romance'],0.41,268427,0.912,0,53lQywP7h2KlnfPAbwxWD9,0.145,0.423,-2.795,S/C/A/R/E/C/R/O/W,51,0.0334,155.031,0.289,2010,20.958692540000005
5.34e-05,['OK Go'],0.43,188120,0.6609999999999999,0,3l9eeEd5NABrvYRzXIVqwK,0.0063,0.135,-3.43,This Too Shall Pass,46,0.0434,160.032,0.386,2010,20.88749466
0.000754,['The Decemberists'],0.487,221853,0.81,0,7IxWqdG1zG0gaAFYq2q0Iy,0.0,0.352,-4.067,Down By The Water,48,0.0357,123.493,0.7020000000000001,2011,17.4896246
0.000552,['Bayside'],0.388,214107,0.8909999999999999,0,0p3YVGafB1214KOw5AokGv,0.0246,0.336,-3.338,"Sick, Sick, Sick",48,0.0816,172.065,0.5329999999999999,2011,22.351344800000003
0.00238,['Get Scared'],0.387,198080,0.929,0,03zRY58mcXQvvwu9Iyy4a4,7.22e-06,0.314,-4.825,Sarcasm,58,0.161,180.359,0.591,2011,24.191762000000004
0.000184,['Blue Stahli'],0.439,265435,0.915,0,3B0hzwc1e8AYOytj9hZS2I,0.000899,0.326,-7.077999999999999,ULTRAnumb,57,0.0745,91.993,0.34,2011,15.261581599999998
0.000878,['Pierce The Veil'],0.45,223347,0.907,0,5d6nTdahyEnH1TILFC0Tp3,0.0,0.256,-3.73,Just The Way You Are,52,0.073,108.135,0.344,2011,16.375512200000003
0.00487,['CHEMISTRY'],0.385,215040,0.912,0,7aZDLCAqie3RYzCrBFXOJL,1.11e-05,0.0926,-4.198,Period,55,0.105,127.038,0.312,2011,18.553913
0.01,['Coldplay'],0.419,242253,0.773,0,6WF4hzdGXvXd1joERSXJjm,0.00418,0.269,-6.187,Hurts Like Heaven,56,0.0305,89.954,0.274,2011,14.910100000000002
0.0139,['Jason Derulo'],0.416,242173,0.84,0,2X42KFgnOSaxOHMG0nDOdj,0.0,0.113,-4.298,Fight for You,57,0.0787,177.942,0.523,2011,23.82801
0.057,"['Mindless Behavior', 'Diggy Simmons']",0.439,248187,0.753,0,4N4CHJqFZHyB7SBUuSFu1y,0.0,0.1,-4.799,Mrs. Right,48,0.0932,95.339,0.5379999999999999,2011,14.641900000000003
5.85e-05,['M83'],0.428,235374,0.8240000000000001,0,7zZkPiqHnL7icGGb4Almf6,0.000253,0.126,-5.022,Reunion,47,0.0459,124.006,0.275,2011,17.43339415
0.0236,['Aaron Shust'],0.44,254453,0.8740000000000001,0,5m0IsXTsXWxSbdltKmsKlI,0.0,0.289,-3.749,My Hope Is In You,48,0.048,149.998,0.38,2011,20.147640000000003
0.0112,['FUNKIST'],0.464,211840,0.923,0,0CG1VDIBtoHTPvvBEzqKaY,0.0,0.229,-4.015,Ft.,53,0.0467,99.012,0.799,2011,15.569780000000002
0.0385,['Lindsey Stirling'],0.423,247422,0.746,0,5Q5sQ1AgLQ1wKKXIYt6FGC,1.33e-05,0.21,-6.912000000000001,Elements,49,0.0582,139.804,0.214,2012,19.18495
0.000729,['Godsmack'],0.375,226293,0.8390000000000001,0,02LrmnkHvOcQo6L2RBdfqu,6.11e-06,0.185,-5.546,"Come Together - Live From Fox Theatre Detroit, MI/2012",49,0.0597,177.49400000000003,0.6659999999999999,2012,22.976027100000003
0.00135,['MARINA'],0.484,202693,0.7559999999999999,0,6LneorXqS0ZjqI94vskRAG,1.55e-06,0.168,-5.709,Homewrecker,48,0.0605,132.722,0.195,2012,18.395665
0.0679,['Title Fight'],0.274,239547,0.456,0,7BJny7nQN5bY4EeGVU3kj6,0.306,0.133,-7.369,Head in the Ceiling Fan,49,0.0438,120.956,0.0783,2012,17.180410000000002
0.159,['Death Grips'],0.4320000000000001,186973,0.94,1,5lq6hpsabgw22xRYPHVV5c,0.0,0.154,-4.099,The Fever (Aye Aye),52,0.374,80.084,0.225,2012,13.560899999999998
0.0080299999999999,['The Veer Union'],0.441,220627,0.97,0,52ngXhcqJzGyKVDup7HzGr,2.13e-06,0.332,-2.99,Bitter End,54,0.0919,164.071,0.5379999999999999,2012,22.185497
0.0546,['Rascal Flatts'],0.474,233693,0.603,0,1Cy71Rb6aB5EjVYVYvVFIx,0.0,0.198,-5.99,Let It Hurt,48,0.027,135.988,0.255,2012,18.669040000000003
0.00019,['Evans Blue'],0.447,228328,0.941,0,5g0hXvfKYYZrEdnoCn1QQc,0.00425,0.315,-3.832,Destroy The Obvious,53,0.0492,95.006,0.319,2012,15.172281000000002
0.00193,['Lana Del Rey'],0.352,237640,0.725,1,1wa25BuCtMePIYgf8sHkgY,2.73e-06,0.22,-6.462999999999999,Gods & Monsters,50,0.0656,189.767,0.339,2012,24.264407
0.0516,['We The Kings'],0.402,214663,0.81,0,2175SEVUYi90KNKHX4NqmV,0.0,0.713,-4.839,Queen of Hearts,55,0.0792,84.139,0.5720000000000001,2013,14.23214
0.00481,['Gary Allan'],0.416,259773,0.6729999999999999,0,3GjrA05cw03foxmroEQw08,2.37e-06,0.126,-7.451,It Ain't The Whiskey,50,0.0356,138.845,0.233,2013,19.169119
0.0501,['Madison Beer'],0.477,212520,0.919,0,4jPC5HNBHkuRMtrscdHQty,0.0,0.539,-2.695,Melodies,57,0.218,178.287,0.569,2013,23.89479
0.00156,['Def Leppard'],0.414,272173,0.953,0,1LJiDycHs6p6hNFvYwVZAx,0.0,0.99,-5.4620000000000015,Pour Some Sugar on Me,51,0.243,175.942,0.462,2013,23.062744
0.0357,['Falling In Reverse'],0.468,233016,0.977,0,31X64Lz1VD4OgvpDekNKNO,0.0,0.272,-2.6210000000000004,Rolling Stone,53,0.196,174.18099999999995,0.406,2013,23.10123
0.193,['Chrisette Michele'],0.494,237573,0.452,0,2Vlk8O848wZuu9CLWnAYSb,0.0,0.089,-6.724,A Couple Of Forevers,49,0.0308,116.293,0.173,2013,16.7444
0.19,['Local Natives'],0.482,198933,0.362,0,5BX9R694ZWdgyMEgswWvgY,0.00562,0.0913,-10.358,Mt. Washington,50,0.0299,76.87899999999998,0.174,2013,12.873899999999995
