acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year,hype_score,album_id,album_name,artists_0_id,artists_0_name,track_number
0.132,['Dr. Dog'],0.454,234800,0.82,0,0UV5zxRMz6AO4ZwUOZNIKI,0.000969,0.115,-4.1930000000000005,Where'd All the Time Go?,65,0.0567,166.303,0.575,2010,23.4539,16XswZ18xhMs8qUTN51mRl,"Shame, Shame (Deluxe Edition)",4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog,5
0.0277,['Tame Impala'],0.303,192960,0.9,0,0LtOwyZoSNZKJWHqjzADpW,0.635,0.11,-2.352,Feels Like We Only Go Backwards,75,0.0574,149.50799999999995,0.491,2012,22.77863,3C2MFZ2iHotUQOSBzdSvM7,Lonerism,5INjqkS1o8h1imAzPqGZBb,Tame Impala,7
0.6890000000000001,['Leon Bridges'],0.6579999999999999,238560,0.179,0,0NeJjNlprGfZpeX2LQuN6c,0.0,0.17,-10.866,River,74,0.0448,128.128,0.191,2015,20.3292,4svLfrPPk2npPVuI4kXPYg,Coming Home,3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,10
0.392,['Cage The Elephant'],0.47,225973,0.623,0,5n0CTysih20NYdT2S0Wpe8,0.000453,0.0992,-5.655,Trouble,72,0.0302,77.861,0.298,2015,15.227800000000004,0nW0w37lrQ87k7PLZvC4qJ,Tell Me I'm Pretty,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,6
0.386,['A Tribe Called Quest'],0.885,234627,0.608,0,4tEaytMs86hIaOSsiGoLcP,0.0118,0.319,-10.809,Excursions,57,0.1689999999999999,95.748,0.7070000000000001,1991,15.595600000000005,1p12OAWwudgMqfMzjMvl2a,The Low End Theory,09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,1
0.055,['Le Tigre'],0.603,184627,0.8640000000000001,1,5773KSWFzg9kCc8yazjbSt,0.00493,0.0986,-3.341,Deceptacon,60,0.0668,160.488,0.616,1999,22.4231,0dSSZGzoukzrFBnG07J45i,Le Tigre,2n6FviARgtjjimZXu18uRM,Le Tigre,1
0.562,['Tame Impala'],0.598,211227,0.5529999999999999,0,6qZjm61s6u8Ead9sWxCDro,0.157,0.257,-6.742000000000001,Elephant,70,0.0397,123.075,0.5329999999999999,2012,19.536800000000003,3C2MFZ2iHotUQOSBzdSvM7,Lonerism,5INjqkS1o8h1imAzPqGZBb,Tame Impala,9
0.73,['Shakey Graves'],0.564,240587,0.354,0,47KDDZgFiX1w6RFOuLXsSn,3.43e-06,0.208,-10.85,Tomorrow,67,0.0334,98.075,0.423,2016,16.6535,6gtu2oXhmDQN8TAsWimZbj,Tomorrow,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,1
0.54,['Thundercat'],0.657,188454,0.562,0,7CH99b2i1TXS5P8UUyWtnM,0.00143,0.101,-8.6,Them Changes,72,0.0601,81.657,0.7040000000000001,2017,15.6117,7vHBQDqwzB7uDvoE5bncMM,Drunk,4frXpPxQQZwbCu3eTGnZEw,Thundercat,15
0.565,"['Cocteau Twins', 'Harold Budd']",0.452,189040,0.6759999999999999,0,0EtYctBNJJ4IMNR7skKfm3,0.212,0.252,-13.418,"Sea, Swallow Me",48,0.0266,163.937,0.83,1986,21.4304,4ofyfCTKDjg36h4gTOz8k0,The Moon and the Melodies,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,1
0.722,['Dawes'],0.327,308373,0.501,0,6y9Jj7NVcBOCsnn9Ps2CPN,0.00245,0.113,-8.885,When My Time Comes,58,0.0434,115.199,0.377,2009,17.463400000000004,3ca8rTTGzriBOcq2JnHchZ,North Hills,0CDUUM6KNRvgBFYIbWxJwV,Dawes,5
0.00956,['Alvvays'],0.27,196560,0.83,0,5HLes17mwCwKt81mi0Tk35,0.434,0.142,-4.592,"Archie, Marry Me",61,0.0741,117.314,0.205,2014,18.133444000000004,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,2
