Left,Down,Right,Up
1.3244994538221833,1.7806252268040828,1.78064459959131,1.3245024765017572
1.1245017871532998,1.7258128276823694,1.7257846924182838,1.28061246632946
1.0805540896685673,1.6573009025706806,-9.999999999999996,1.2256806124915762
0.0,0.0,0.0,0.0
-9.999999927629947,1.4438172150945718,1.427953944578918,1.047250837692543
0.8509407190658803,1.2921625521233955,-9.999990192028541,0.9185697000763429
0.0,0.0,0.0,0.0
-6.723200000000001,0.6045241891225601,0.5195279540289537,0.10612691476348932
0.04298250905885084,0.6010076510945283,0.3660879052800001,0.15997572804968457
0.014541722566656043,0.48365162496000014,0.09027607552000005,0.17032221595048352
1.2805767857269326,1.707316587486575,1.7258020577279753,1.1244909761813133
1.0805941108880823,1.2204986172689143,1.657331594636223,1.08058668715517
1.0256344340761538,-9.999999999999996,1.5718302008977878,1.025677619910816
0.956422302599392,1.465126689889535,1.450000247407042,-9.999999999999996
0.8694424554780371,1.314536255447272,1.3053154380651442,0.8524065728964795
0.7406172820631617,1.1424866446149071,1.0933137557122734,0.7309247351113378
0.5816926558369582,-9.98065718688617,0.8915999140781377,-9.969776854509636
0.22352865806518696,0.4388014080000001,0.678923404430541,0.027642789836541164
0.015178515355926549,0.32922521600000004,0.5128371650560002,0.02661053503438854
-0.0020520513535999922,0.3185920000000001,0.039014571294720024,-0.006333244555263979
1.207276090144304,1.6341702504781999,1.2204687425206873,1.080469833441993
1.0072259889862245,-9.999999999999996,-9.999999999999996,1.0256556042127891
0.0,0.0,0.0,0.0
-9.999999999999996,1.33167121560017,1.3161318729879379,0.8698004265159576
0.761045522802504,1.1414083961227328,1.1483869900978394,0.7490898944368541
0.6092182012883418,0.9399762889921771,-9.99999742889913,0.5986720060827952
0.0,0.0,0.0,0.0
-6.723200000000001,0.2673920000000001,0.0,0.025613344708886557
-0.034912000000000006,0.18547200000000003,0.2600192000000001,-0.022825206988799994
-0.07996288000000001,0.24896000000000007,-0.032313600000000005,-0.07822208000000003
1.1339447433086123,1.5428016675169203,-9.999999999999996,1.0072152900814464
0.0,0.0,0.0,0.0
-9.940970418964131,1.2147046633819847,1.2609214600023866,-9.81985601490518
0.6887936741742882,1.1690063403486355,1.1271006754108714,0.7554612654663777
0.613772365720333,-9.999953231947607,0.9388762227591014,0.6018935134592854
0.399682872825663,0.7205737645659017,-9.962221068137044,0.42556437661334456
0.0,0.0,0.0,0.0
-2.0,0.0,0.16704000000000002,-0.03728256
-0.03327360000000001,-2.0,0.25920000000000004,-0.055894784
-0.08772480000000003,0.24035840000000003,-0.04880000000000001,-0.07472000000000002
1.0424932561926108,1.4287947010186357,-9.999999999999996,0.9337602431876896
0.0,0.0,0.0,0.0
-9.984525749508936,1.0334249893861664,1.1115286293067623,0.47736775192722897
0.5457716721144533,0.9999213366990889,-9.997403851570734,0.5332055503324202
0.0,0.0,0.0,0.0
